RANK_CO,PBLPRFR_NM,GENRE_NM,PBLPRFR_BEGIN_DE,PBLPRFR_END_DE,AREA_NM,PBLPRFR_PLACE_NM,RDNMADR_NM,LC_LA,LC_LO
1,태양의서커스: 뉴 알레그리아,뮤지컬,20221020,20230101,서울특별시,잠실종합운동장,서울특별시 송파구 올림픽로 25 (잠실동),37.5161925,127.0759221
2,베토벤,뮤지컬,20230112,20230326,서울특별시,예술의전당,서울특별시 서초구 남부순환로 2406 (서초동),37.4786896,127.0118241
3,마틸다,뮤지컬,20221005,20230226,서울특별시,디큐브아트센터,"서울특별시 구로구 경인로 662 (신도림동, 디큐브시티)",37.5084321,126.8887332
4,브로드웨이 42번가,뮤지컬,20221105,20230115,서울특별시,예술의전당,서울특별시 서초구 남부순환로 2406 (서초동),37.4786896,127.0118241
5,웨스트 사이드 스토리,뮤지컬,20221117,20230226,서울특별시,충무아트센터,서울특별시 중구 퇴계로 387 (흥인동),37.5660139,127.0148131
6,물랑루즈!,뮤지컬,20221216,20230305,서울특별시,블루스퀘어,서울특별시 용산구 이태원로 294 (한남동),37.5408717,127.0024401
7,"예술의전당 & 국립발레단, 호두까기인형",무용,20221217,20221225,서울특별시,예술의전당,서울특별시 서초구 남부순환로 2406 (서초동),37.4786896,127.0118241
8,여신님이 보고 계셔 10th Anniversary,뮤지컬,20221108,20230301,서울특별시,유니플렉스,서울특별시 종로구 대학로12길 64,37.5811328,127.0036997
9,캣츠 오리지널 내한 [서울],뮤지컬,20230120,20230312,서울특별시,세종문화회관,서울특별시 종로구 세종대로 175 (세종로),37.5725254,126.9756429
10,스위니토드,뮤지컬,20221201,20230305,서울특별시,샤롯데씨어터,서울특별시 송파구 올림픽로 240 (잠실동),37.5105162,127.100563
11,랭보,뮤지컬,20221018,20230101,서울특별시,티오엠씨어터(구. 문화공간필링),서울특별시 종로구 대학로8가길 85 (동숭동),37.5822467,127.0037166
12,"유니버설발레단, 호두까기인형 [서울]",무용,20221222,20221231,서울특별시,세종문화회관,서울특별시 종로구 세종대로 175 (세종로),37.5725254,126.9756429
13,지저스 크라이스트 수퍼스타 50주년 기념 한국 공연,뮤지컬,20221110,20230115,서울특별시,광림아트센터,서울특별시 강남구 논현로163길 33 (신사동),37.5238342,127.0251165
14,영웅,뮤지컬,20221221,20230228,서울특별시,LG아트센터,서울특별시 강남구 논현로 508 (역삼동),37.5022937,127.0375211
15,드라큘라,뮤지컬,20221115,20230115,서울특별시,올림픽공원,서울특별시 송파구 올림픽로 424 올림픽공원 (방이동),37.52112,127.1283636
16,푸에르자 부르타 웨이라 인 서울,뮤지컬,20220929,20230102,서울특별시,잠실종합운동장,서울특별시 송파구 올림픽로 25 (잠실동),37.5161925,127.0759221
17,캣츠 오리지널 내한 [부산],뮤지컬,20230106,20230115,부산광역시,드림씨어터 [부산],부산광역시 남구 전포대로 133 (문현동),35.1482786,129.0654385
18,빨래,뮤지컬,20211105,20230129,서울특별시,유니플렉스,서울특별시 종로구 대학로12길 64,37.5811328,127.0036997
19,아트 (ART),연극,20220917,20221211,서울특별시,예스24 스테이지(구. DCF대명문화공장),서울특별시 종로구 대학로12길 21 (동숭동),37.5827158,127.0032484
20,이프덴,뮤지컬,20221208,20230226,서울특별시,홍익대 대학로 아트센터,서울특별시 종로구 대학로 57,37.5769696,127.0020331
21,종의 기원,뮤지컬,20221218,20230305,서울특별시,대학로 드림아트센터,서울특별시 종로구 동숭길 123 (동숭동) 드림아트센터,37.5820171,127.0035363
