SEQ_NO,ALL_KWRD_RANK_CO,SRCHWRD_NM,UPPER_CTGRY_NM,LWPRT_CTGRY_NM,GENRE_NM,MOBILE_SCCNT_VALUE,PC_SCCNT_VALUE,SCCNT_SM_VALUE,SCCNT_DE
28463,1,뮤지컬레베카,문화공연,뮤지컬,창작,742,1998,2740,20230619
28464,2,뮤지컬영웅,문화공연,뮤지컬,창작,212,1570,1782,20230619
28465,3,뮤지컬시카고,문화공연,뮤지컬,라이선스,390,1105,1495,20230619
28466,4,뮤지컬시카고,문화공연,뮤지컬,라이선스,390,1105,1495,20230619
28467,5,뮤지컬모차르트,문화공연,뮤지컬,라이선스,328,1041,1369,20230619
28468,6,뮤지컬빨래,문화공연,뮤지컬,창작,180,604,784,20230619
28469,7,뮤지컬그날들,문화공연,뮤지컬,창작,141,406,547,20230619
28470,8,뮤지컬그날들,문화공연,뮤지컬,창작,141,406,547,20230619
28471,9,뮤지컬그날들,문화공연,뮤지컬,창작,141,406,547,20230619
28472,10,뮤지컬맘마미아,문화공연,뮤지컬,창작,77,250,327,20230619
